,Group
Arthrocardia_sp,Red
Carpophyllum_angustifolium,Brown
Carpophyllum_flexuosum,Brown
Carpophyllum_maschalocarpum,Brown
Carpophyllum_plumosum,Brown
Champia_laingii,Red
Cystophora_retroflexa,Brown
Delisea_compressa,Red
Dictyota_kunthii,Brown
Ecklonia_radiata,Brown
Hormosira_banksii,Brown
Hymenena_affinis,Red
Lessonia_variegata,Brown
Melanthalia_abscissa,Red
Nesophila_hoggardii,Red
Plocamium_cirrhosum,Red
Pterocladia_lucida,Red
Pterocladiella_capillacea,Red
Ptilonia_mooreana,Red
Sargassum_sinclairii,Brown
Ulva_pertusa,Green
Vidalia_colensoi,Red
Xiphophora_chondrophylla,Brown
Zonaria_sp,Brown
